id,歌曲名,专辑,时间,作者
1979417838,我的美丽feat.海洋Bo,我的美丽feat.海洋Bo,4:4,海洋Bo/高睿
2074440239,主 动,主 动,2:47,加木
1410647903,带我去找夜生活,带我去找夜生活,4:59,告五人
247936,最后一页,恋习,4:5,江语晨
86369,偏爱,仙剑奇侠传三 电视原声带,3:32,张芸京
1363553440,出现又离开 (Live),我是唱作人 第2期,6:43,梁博
139764,不得不爱,高手,4:41,潘玮柏/弦子
1371780785,暖一杯茶,暖一杯茶,4:3,邵帅
1926623288,小胡同,小胡同,4:36,郑润泽
2149792787,这条小鱼在乎,不完全自救手册,4:31,王OK/洪佩瑜
553755659,可不可以,可不可以,4:0,张紫豪
25648006,麦恩莉,回到未来,4:48,方大同
2025186889,绽放,梦游,4:0,郑润泽
150633,天天,I'm O.K.,4:15,陶喆
1868810493,Anyone(80's Version),Anyone(80's Version),4:0,Crystal Bats/TRONICBOX
440208476,That Girl,24 HRS (Deluxe),2:56,Olly Murs
2166788095,玛利亚,理想国,3:18,杨和苏KeyNG
1969822728,慢冷 (Live),2022中国好声音 第1期,2:44,李荣浩
2164277981,你在，不在 (live │ 典藏),歌手2024 第5期,4:17,汪苏泷
2041974276,风驶过的声音是,风驶过的声音是（说唱版）,2:27,海洋Bo/费米Frieme/Zy
1859245776,STAY,STAY,2:21,The Kid LAROI/Justin Bieber
2164260202,你在，不在 (live),歌手2024 第5期,4:17,汪苏泷
1907766514,11,11,3:54,队长/黄礼格
2038191895,诀别书,诀别书,4:6,邓垚
2600433769,何物 (Live版),天赐的声音第五季 第9期,4:36,张碧晨/王赫野
2602631855,将芯比心,将芯比心,3:40,许嵩
2156439313,虹之间 (Live版),天赐的声音第五季 第4期,3:27,王赫野/姚晓棠
2154907045,如果那通电话有接通(有谁懂我懂我的难过),如果那通电话有接通(有谁懂我懂我的难过),4:31,Dior大颖
1436117704,不说,不说,3:38,周公
865632948,若把你,若把你,3:9,Kirsty刘瑾睿
2018733994,遐想,梦游,3:9,郑润泽
163041,根本你不懂得爱我,Romance,3:56,韦雄
1877996649,危险派对,危险派对,3:0,王以太/刘至佳
2033897126,迷宫,迷宫,3:37,step.jad依加
1440570723,Normal No More,Normal No More,3:19,TYSM
469998923,别问很可怕,You'll Never Know / 别问很可怕,4:7,J. Sheon
2066713227,猜不透（说唱版）,猜不透（说唱版）,3:27,卢卢快闭嘴/刘思达LOFTHESTAR
2026224214,雪 Distance,Uniconfication,2:45,Capper/罗言
16343632,Whataya Want from Me,For Your Entertainment (Tour Edition),3:46,Adam Lambert
1961990685,怀抱,Bombshell,4:0,弹壳Danko
2046990697,字字句句 (Live版),天赐的声音第四季 第3期,4:52,张碧晨/王赫野
1888381008,如愿,如愿,4:25,王菲
287063,我怀念的,逆光,4:49,孙燕姿
566436427,谁 (Live版),这个人创作LIVE现场辑,4:14,廖俊涛
2061904445,Sea of Tranquility,Sea of Tranquility,2:4,BeMax
1299550532,倒数,另一个童话,3:49,G.E.M.邓紫棋
2082621054,frozen heart.,frozen heart.,3:9,8bite/Dyrox
529668356,你要的全拿走,覅忒好,4:59,胡彦斌
1443838552,他只是经过,他只是经过,3:35,h3R3/高旭
1471039968,南风北巷,南风北巷,5:7,邵帅
2025533834,我们的歌,我们的歌,3:8,刘大拿
1988564487,会魔法的老人,健将mixtape,2:50,法老/KKECHO
2159017376,你的目光,你的目光,3:31,流浪声乐生
1382576173,Cruel Summer,Lover,2:58,Taylor Swift
1892938288,爱止痛（Prod.JpBeatz）,爱止痛,2:18,JinJiBeWater_隼
2150577831,泪桥,泪桥（陶喆AI）,3:48,Dawn9
1851330148,你的目光 (The Way You Felt),你的目光 (The Way You Felt),3:2,Alec Benjamin
2018458208,Repeat（重复）,Repeat,3:5,Chester Young/Rave Republic/Kris Kiss
502043537,第三人称,第三人称,4:29,买辣椒也用券
1400259397,有我呢,重返地球,4:34,郭一凡
1923184888,Letting Go,Letting Go,4:6,刘大拿
1842025914,这世界那么多人,这世界那么多人,4:45,莫文蔚
255574,恶作剧,幸福遇见,3:46,林依晨
31654343,不将就,有理想,5:12,李荣浩
1435828582,Empty Love,Empty Love (feat. Kid Princess),2:50,Lulleaux/Kid Princess
2051548110,Nothin' on Me,Nothin' on Me,3:37,Leah Marie Perez
2050391293,是你 (Live版),天赐的声音第四季 第5期,3:54,王赫野/张靓颖
2601180814,Where to go,Love Me Later,3:11,王以太/艾热 AIR
1459261754,直到你降临,直到你降临,4:39,阿肆
1974443815,程艾影,署前街少年,5:0,赵雷
1929370102,晚风心里吹,晚风心里吹,3:6,阿梨粤
2129666437,你在 不在,你在 不在,3:27,很美味
548885986,落空,印子月歌曲集,3:53,印子月
2110023759,普通朋友,普通朋友,4:11,宋雨琦
1413863166,想去海边,想去海边,4:27,夏日入侵企画
1968781675,一直很安静,一直很安静,3:48,王贰浪
2078700726,姑娘别哭泣,姑娘别哭泣,3:55,柯柯柯啊
2005492223,命运,为你的寂寞唱歌,3:47,家家
1406083061,你,你,4:14,郑润泽
1426112587,下雨天,下雨天,4:25,与少年他/芝麻Mochi
2151956989,人上人,人上人,3:0,法老/MC HotDog 热狗
1934251776,小城夏天,小城夏天,2:53,LBI利比
1492023926,是想你的声音啊,是想你的声音啊（说唱版）,3:35,制造热搜/果妹/傲七爷/Aioz
1293886117,年少有为,耳朵,4:39,李荣浩
2096555798,Right Back,D.N.A,2:53,D.N.A/张艺兴
306665,一样的月光,LaLa首张创作专辑,4:0,徐佳莹
25640409,有形的翅膀,有形的翅膀,3:36,张韶涵
2600493765,恋人,恋人,4:35,李荣浩
2133567415,Fast Cars & Superstars (Radio),Fast Cars & Superstars,1:58,Cristian Marchi/Reverend Haus
65528,淘汰,认了吧,4:45,陈奕迅
150623,普通朋友,I'm O.K.,4:15,陶喆
2103368325,幕后生活,普通人生,3:40,海洋Bo
438204707,天若有情,天若有情,4:17,黄丽玲
1294951288,溯 (Reverse),溯 (Reverse),3:12,CORSAK胡梦周/马吟吟
28059417,他不懂,爱，不解释,3:52,张杰
2146228675,若是月亮还没来-(小美呀),2024-zjm,2:54,vi1/王宇宙Leto/乔浚丞
1387581250,MOM,MOM,2:54,蜡笔小心
108493,我还想她,JJ陆,4:7,林俊杰
167827,素颜,素颜,3:58,许嵩/何曼婷
2057534370,笼,笼,4:40,张碧晨
2601180809,Time To Be A Man,Love Me Later,3:4,王以太
2600433775,下一次爱情来的时候 (Live版),天赐的声音第五季 第9期,4:28,吉克隽逸/姚晓棠
2120125578,底牌,底牌,3:0,Max李玄/邹沛沛
1406649619,有些,失眠症候群,3:49,颜人中
