名称,代码,总市值
青岛港,601298,62054916000.0
华虹公司,688347,61551229881.0
中科曙光,603019,60738527421.0
卫星化学,002648,60568377722.0
桂冠电力,600236,60457837741.0
中国卫通,601698,59521590455.0
新 和 成,002001,59345421235.0
复星医药,600196,59166907462.0
山西焦煤,000983,58530911918.0
三安光电,600703,58471299480.0
今世缘,603369,57957900000.0
成都银行,601838,57933894227.0
中航机载,600372,57921592661.0
赣锋锂业,002460,57791856868.0
上海电气,601727,57645293640.0
东方电气,600875,57517864982.0
宇通客车,600066,57119631953.0
XD渝农商,601077,57012140000.0
长电科技,600584,56742336015.0
华鲁恒升,600426,56565244773.0
华勤技术,603296,56084912737.0
三环集团,300408,55942558259.0
首创证券,601136,55924009548.0
同花顺,300033,55749120000.0
大唐发电,601991,55705198617.0
合盛硅业,603260,55220886214.0
春秋航空,601021,55121654186.0
三六零,601360,54876389353.0
华润三九,000999,54699937136.0
深南电路,002916,54247056877.0
潞安环能,601699,54234248796.0
中天科技,600522,54095251984.0
圆通速递,600233,53918393134.0
浪潮信息,000977,53541554387.0
新产业,300832,52988874860.0
东方盛虹,000301,52691379167.0
XD同仁堂,600085,52403878711.0
爱美客,300896,52049519565.0
上海莱士,002252,51967659528.0
思源电气,002028,51794868566.0
石头科技,688169,51658021402.0
华域汽车,600741,51641618858.0
大华股份,002236,50932490585.0
中国化学,601117,50342037431.0
北新建材,000786,50110802594.0
中集集团,000039,49934738765.0
领益智造,002600,49898226071.0
生益科技,600183,49797475439.0
华润微,688396,49552476630.0
三星医疗,601567,49391900985.0
天齐锂业,002466,49088937548.0
天孚通信,300394,48976870834.0
华东医药,000963,48787849110.0
科伦药业,002422,48576290607.0
德赛西威,002920,48335481249.0
天坛生物,600161,48247863282.0
招商港口,001872,48119702477.0
白云山,600332,47684448534.0
德业股份,605117,47437119628.0
电投能源,002128,47297200702.0
福莱特,601865,47261618048.0
云铝股份,000807,46852104542.0
天山股份,000877,46782483196.0
亿联网络,300628,46470484978.0
铜陵有色,000630,46182442648.0
信达证券,601059,46083030000.0
赛轮轮胎,601058,46033403626.0
迎驾贡酒,603198,46000000000.0
神火股份,000933,45511601114.0
银泰黄金,000975,45232805697.0
淮北矿业,600985,45085150789.0
北汽蓝谷,600733,45033905606.0
海信家电,000921,44722276009.0
紫光国微,002049,44690040667.0
南山铝业,600219,44609586351.0
海澜之家,600398,44377597535.0
龙佰集团,002601,44313465764.0
中国巨石,600176,44234660844.0
海航控股,600221,44079945186.0
珀莱雅,603605,44036105491.0
广汇能源,600256,43990559431.0
大全能源,688303,43735280009.0
兴业证券,601377,43698095708.0
陕西能源,001286,43237500000.0
申能股份,600642,43216956205.0
山东高速,600350,42837518999.0
西部矿业,601168,42774850000.0
中国动力,600482,42648566636.0
陆家嘴,600663,42450055451.0
泰格医药,300347,42036500502.0
海油发展,600968,41880229300.0
华大九天,301269,41833663224.0
浙商证券,601878,41574245501.0
新 希 望,000876,41548402127.0
卓胜微,300782,41543571810.0
中国西电,601179,41212094110.0
润泽科技,300442,41207834694.0
中国外运,601598,41066441006.0
正泰电器,601877,40959348683.0
小商品城,600415,40693759586.0
东阿阿胶,000423,40312949182.0
苏 泊 尔,002032,40158088716.0
昆仑万维,300418,39703400541.0
中泰证券,600918,39512108037.0
中船防务,600685,39436827946.0
江波龙,301308,39410093373.0
湖北能源,000883,39189382888.0
芒果超媒,300413,39098065034.0
太阳纸业,002078,38984295010.0
圣邦股份,300661,38966788759.0
亨通光电,600487,38900405541.0
桐昆股份,601233,38481467108.0
福斯特,603806,38348416583.0
藏格矿业,000408,38041072207.0
沪硅产业,688126,37938516939.0
柏楚电子,688188,37916297261.0
天山铝业,002532,37726790716.0
鱼跃医疗,002223,37693132530.0
安克创新,300866,37633259547.0
晶盛机电,300316,37622905988.0
华友钴业,603799,37559321411.0
阿特斯,688472,37546052358.0
纳思达,002180,37424186644.0
光启技术,002625,37382099406.0
长春高新,000661,37113906969.0
晶澳科技,002459,37068295074.0
天合光能,688599,36874856748.0
盛美上海,688082,36859337609.0
国投资本,600061,36303006031.0
一汽解放,000800,36204852881.0
华阳股份,600348,35930700000.0
杰瑞股份,002353,35916862622.0
海南机场,600515,35875472150.0
云天化,600096,35622664267.0
华峰化学,002064,35581439741.0
环旭电子,601231,35475566808.0
新诺威,300765,35437879977.0
东山精密,002384,35394253669.0
龙芯中科,688047,35259930000.0
闻泰科技,600745,35109369533.0
伟明环保,603568,35081658289.0
许继电气,000400,35064110323.0
中远海发,601866,35025921619.0
TCL中环,002129,34972951436.0
苏能股份,600925,34788888889.0
深圳能源,000027,34728946387.0
江淮汽车,600418,34594715089.0
丽珠集团,000513,34468571260.0
新天绿能,600956,34360512406.0
国轩高科,002074,34289180032.0
海思科,002653,34203421679.0
用友网络,600588,34185213590.0
通富微电,002156,33978994860.0
天赐材料,002709,33694542574.0
中信金属,601061,33663000000.0
金钼股份,601958,33588951804.0
东方电缆,603606,33567387112.0
软通动力,301236,33553058842.0
恒生电子,600570,33450596727.0
拓荆科技,688072,33429116333.0
迈为股份,300751,33358553861.0
康龙化成,300759,33209786038.0
供销大集,000564,33153334790.0
石化油服,600871,33032751657.0
雅戈尔,600177,32957077168.0
长沙银行,601577,32896309708.0
格林美,002340,32686327218.0
欧派家居,603833,32626205490.0
东航物流,601156,32306755565.0
海信视像,600060,32295622101.0
星宇股份,601799,32007522105.0
中材国际,600970,31862782522.0
格科微,688728,31493104537.0
汇顶科技,603160,31487631588.0
金诚信,603979,31203897973.0
君正集团,601216,31136284169.0
恩捷股份,002812,30945980343.0
南网储能,600995,30873416076.0
东方雨虹,002271,30845552072.0
南钢股份,600282,30702153235.0
财通证券,601108,30695118452.0
华菱钢铁,000932,30605241971.0
浙江鼎力,603338,30593538849.0
豪迈科技,002595,30536000000.0
惠泰医疗,688617,30495464928.0
老凤祥,600612,30440222687.0
内蒙华电,600863,30284759443.0
红塔证券,601236,30281777304.0
中航重机,600765,30223534565.0
璞泰来,603659,30209564538.0
华海清科,688120,30130590749.0
华工科技,000988,30094696021.0
中直股份,600038,30076322084.0
三一重能,688349,29945142013.0
雅克科技,002409,29940610223.0
福能股份,600483,29858795123.0
中控技术,688777,29779798818.0
益丰药房,603939,29765719677.0
巨星科技,002444,29701799202.0
信立泰,002294,29687564327.0
光迅科技,002281,29679326946.0
辽港股份,601880,29504090954.0
晶合集成,688249,29430002753.0
重庆啤酒,600132,29377051719.0
东吴证券,601555,29315346738.0
江苏国信,002608,29280117706.0
济川药业,600566,29230489189.0
士兰微,600460,29137898006.0
中伟股份,300919,29012828827.0
景嘉微,300474,28999317420.0
山煤国际,600546,28983508767.0
三七互娱,002555,28943128867.0
晨光股份,603899,28897352978.0
华兰生物,002007,28876450822.0
宏发股份,600885,28861266393.0
艾力斯,688578,28683000000.0
君实生物-U,688180,28634290753.0
张江高科,600895,28619782884.0
兴齐眼药,300573,28605678844.0
华新水泥,600801,28586190174.0
梅花生物,600873,28584943275.0
天地科技,600582,28514877466.0
川宁生物,301301,28463104800.0
金风科技,002202,28392454588.0
南京证券,601990,28311252741.0
国博电子,688375,28256706400.0
欣旺达,300207,28249835774.0
中国长城,000066,28225742020.0
万丰奥威,002085,28112459165.0
国金证券,600109,28029824301.0
人福医药,600079,28027639520.0
浙江龙盛,600352,27946120677.0
芯联集成-U,688469,27932482167.0
乐普医疗,300003,27908260681.0
凤凰传媒,601928,27892104000.0
上海石化,600688,27862343775.0
上海电力,600021,27857594649.0
唐山港,601000,27851864486.0
甘李药业,603087,27847665060.0
胜宏科技,300476,27830335559.0
鄂尔多斯,600295,27763860440.0
平煤股份,601666,27735436210.0
西部证券,002673,27666710754.0
晋控煤业,601001,27649524000.0
佰维存储,688525,27560486859.0
苏州银行,002966,27500577338.0
和辉光电-U,688538,27387367688.0
国联证券,601456,27298293340.0
华熙生物,688363,27248538150.0
科沃斯,603486,27197516555.0
赤峰黄金,600988,27188311917.0
驰宏锌锗,600497,27187496973.0
玲珑轮胎,601966,27068612238.0
长城证券,002939,27030660605.0
安图生物,603658,27009562834.0
正邦科技,002157,26964435883.0
华林证券,002945,26946000000.0
重庆银行,601963,26927877053.0
养元饮品,603156,26917048872.0
中国稀土,000831,26901947457.0
ST康美,600518,26895901379.0
萤石网络,688475,26861625000.0
建发股份,600153,26826357048.0
景旺电子,603228,26771595967.0
中航电测,300114,26731912580.0
长江证券,000783,26710252339.0
北京君正,300223,26698235866.0
建元信托,600816,26678454768.0
粤电力Ａ,000539,26671442649.0
顾家家居,603816,26538877149.0
凯赛生物,688065,26479529190.0
国元证券,000728,26444494019.0
郑煤机,601717,26425961364.0
航发控制,000738,26395742900.0
平高电气,600312,26392119460.0
九号公司-WD,689009,26375705583.0
万达电影,002739,26348568913.0
昊华科技,600378,26341593022.0
XD中国卫,600118,26286733471.0
永泰能源,600157,26216961691.0
XD中航高,600862,26161462229.0
海油工程,600583,26130206868.0
华天科技,002185,26116549881.0
先导智能,300450,26045291255.0
安迪苏,600299,26014442348.0
恒逸石化,000703,25994083881.0
广电运通,002152,25976185113.0
科博达,603786,25910191415.0
欧菲光,002456,25829146574.0
远兴能源,000683,25779914790.0
东兴证券,601198,25730266339.0
杭叉集团,603298,25724708642.0
中国软件,600536,25722061714.0
海格通信,002465,25711799701.0
复旦微电,688385,25702115352.0
航天电子,600879,25635555825.0
以岭药业,002603,25611913414.0
世纪华通,002602,25562270400.0
锡业股份,000960,25493472236.0
新集能源,601918,25257782550.0
